Id,State,date,New_cases
181,Andhara Pradesh,26-06-2019,141
182,Arunachal Pradesh,10-06-2019,0
183,Assam,13-06-2019,3
184,Bihar,11-06-2019,2
185,Chhattisgarh,17-06-2019,8
186,Goa,02-06-2019,47
187,Gujarat,20-06-2019,54
188,Haryana,20-06-2019,1
189,Himachal Pradesh,10-06-2019,4
190,J & K,24-06-2019,0
191,Jharkhand,11-06-2019,6
192,Karnataka,17-06-2019,803
193,Kerala,21-06-2019,464
194,Madhya Pradesh,24-06-2019,19
195,Meghalaya,07-06-2019,0
196,Maharashtra,14-06-2019,202
197,Manipur,07-06-2019,2
198,Mizoram,15-06-2019,0
199,Nagaland,20-06-2019,2
200,Odisha,27-06-2019,61
201,Punjab,16-06-2019,52
202,Rajasthan,13-06-2019,46
203,Sikkim,10-06-2019,0
204,Tamil Nadu,10-06-2019,134
205,Tripura,13-06-2019,11
206,Telengana,16-06-2019,186
207,Uttar Pradesh,25-06-2019,15
208,Uttrakhand,08-06-2019,0
209,West Bengal,23-06-2019,Not Reported
210,A&N Island,09-06-2019,0
211,Chandigarh,01-06-2019,7
212,Delhi,10-06-2019,38
213,D&N Haveli,21-06-2019,6
214,Daman & Diu,04-06-2019,1
215,Puducherry,07-06-2019,27
216,Total,18-06-2019,2342
217,Andhara Pradesh,06-01-2018,90
218,Arunachal Pradesh,20-01-2018,0
219,Assam,21-01-2018,2
220,Bihar,27-01-2018,2
221,Chhattisgarh,11-01-2018,3
222,Goa,22-01-2018,20
223,Gujarat,23-01-2018,141
224,Haryana,13-01-2018,0
225,Himachal Pradesh,08-01-2018,0
226,J & K,08-01-2018,0
227,Jharkhand,12-01-2018,1
228,Karnataka,24-01-2018,154
229,Kerala,16-01-2018,167
230,Madhya Pradesh,22-01-2018,6
231,Meghalaya,23-01-2018,0
232,Maharashtra,19-01-2018,120
233,Manipur,01-01-2018,1
234,Mizoram,16-01-2018,4
235,Nagaland,28-01-2018,0
236,Odisha,05-01-2018,7
237,Punjab,11-01-2018,0
238,Rajasthan,17-01-2018,483
239,Sikkim,08-01-2018,5
240,Tamil Nadu,11-01-2018,917
241,Tripura,22-01-2018,3
242,Telengana,05-01-2018,48
243,Uttar Pradesh,12-01-2018,48
244,Uttrakhand,21-01-2018,0
245,West Bengal,19-01-2018,Not Reported
246,A&N Island,27-01-2018,0
247,Chandigarh,04-01-2018,3
248,Delhi,06-01-2018,5
249,D&N Haveli,21-01-2018,13
250,Daman & Diu,18-01-2018,2
251,Puducherry,17-01-2018,60
252,Total,21-01-2018,2305
253,Andhara Pradesh,27-02-2018,81
254,Arunachal Pradesh,03-02-2018,0
255,Assam,06-02-2018,1
256,Bihar,27-02-2018,0
257,Chhattisgarh,01-02-2018,4
258,Goa,19-02-2018,8
259,Gujarat,10-02-2018,102
260,Haryana,02-02-2018,0
261,Himachal Pradesh,14-02-2018,0
262,J & K,06-02-2018,0
263,Jharkhand,15-02-2018,0
264,Karnataka,15-02-2018,298
265,Kerala,28-02-2018,94
266,Madhya Pradesh,05-02-2018,10
267,Meghalaya,28-02-2018,0
268,Maharashtra,23-02-2018,59
269,Manipur,16-02-2018,0
270,Mizoram,13-02-2018,6
271,Nagaland,16-02-2018,0
272,Odisha,13-02-2018,6
273,Punjab,15-02-2018,0
274,Rajasthan,15-02-2018,261
275,Sikkim,19-02-2018,0
276,Tamil Nadu,08-02-2018,308
277,Tripura,19-02-2018,1
278,Telengana,24-02-2018,99
279,Uttar Pradesh,13-02-2018,24
280,Uttrakhand,02-02-2018,0
281,West Bengal,27-02-2018,Not Reported
282,A&N Island,20-02-2018,1
283,Chandigarh,28-02-2018,1
284,Delhi,19-02-2018,10
285,D&N Haveli,17-02-2018,3
286,Daman & Diu,26-02-2018,1
287,Puducherry,12-02-2018,31
288,Total,08-02-2018,1409
289,Andhara Pradesh,19-03-2018,77
290,Arunachal Pradesh,05-03-2018,0
291,Assam,07-03-2018,2
292,Bihar,09-03-2018,0
293,Chhattisgarh,09-03-2018,1
294,Goa,17-03-2018,11
295,Gujarat,27-03-2018,89
296,Haryana,07-03-2018,0
297,Himachal Pradesh,11-03-2018,0
298,J & K,28-03-2018,0
299,Jharkhand,02-03-2018,0
300,Karnataka,10-03-2018,230
301,Kerala,13-03-2018,72
302,Madhya Pradesh,07-03-2018,3
303,Meghalaya,11-03-2018,0
304,Maharashtra,03-03-2018,55
305,Manipur,10-03-2018,2
306,Mizoram,14-03-2018,12
307,Nagaland,12-03-2018,0
308,Odisha,20-03-2018,9
309,Punjab,01-03-2018,0
310,Rajasthan,10-03-2018,252
311,Sikkim,15-03-2018,1
312,Tamil Nadu,15-03-2018,144
313,Tripura,10-03-2018,2
314,Telengana,02-03-2018,55
315,Uttar Pradesh,22-03-2018,28
316,Uttrakhand,03-03-2018,0
317,West Bengal,19-03-2018,Not Reported
318,A&N Island,01-03-2018,2
319,Chandigarh,27-03-2018,1
320,Delhi,28-03-2018,3
321,D&N Haveli,04-03-2018,4
322,Daman & Diu,27-03-2018,0
323,Puducherry,07-03-2018,5
324,Total,04-03-2018,1060
325,Andhara Pradesh,24-04-2018,46
326,Arunachal Pradesh,28-04-2018,0
327,Assam,08-04-2018,2
328,Bihar,02-04-2018,0
329,Chhattisgarh,24-04-2018,0
330,Goa,14-04-2018,7
331,Gujarat,21-04-2018,72
332,Haryana,04-04-2018,3
333,Himachal Pradesh,02-04-2018,0
334,J & K,02-04-2018,0
335,Jharkhand,03-04-2018,3
336,Karnataka,15-04-2018,138
337,Kerala,11-04-2018,73
338,Madhya Pradesh,27-04-2018,6
339,Meghalaya,06-04-2018,0
340,Maharashtra,02-04-2018,122
341,Manipur,07-04-2018,1
342,Mizoram,21-04-2018,12
343,Nagaland,09-04-2018,0
344,Odisha,08-04-2018,8
345,Punjab,07-04-2018,0
346,Rajasthan,03-04-2018,256
347,Sikkim,08-04-2018,6
348,Tamil Nadu,08-04-2018,87
349,Tripura,08-04-2018,0
350,Telengana,27-04-2018,65
351,Uttar Pradesh,17-04-2018,21
352,Uttrakhand,20-04-2018,0
353,West Bengal,06-04-2018,Not Reported
354,A&N Island,26-04-2018,1
355,Chandigarh,12-04-2018,0
356,Delhi,15-04-2018,8
357,D&N Haveli,05-04-2018,7
358,Daman & Diu,22-04-2018,0
359,Puducherry,21-04-2018,4
360,Total,27-04-2018,948
361,Andhara Pradesh,19-05-2018,69
362,Arunachal Pradesh,17-05-2018,0
363,Assam,20-05-2018,3
364,Bihar,02-05-2018,0
365,Chhattisgarh,12-05-2018,3
366,Goa,27-05-2018,10
367,Gujarat,06-05-2018,100
368,Haryana,16-05-2018,2
369,Himachal Pradesh,20-05-2018,0
370,J & K,04-05-2018,1
371,Jharkhand,07-05-2018,3
372,Karnataka,15-05-2018,186
373,Kerala,13-05-2018,439
374,Madhya Pradesh,18-05-2018,9
375,Meghalaya,13-05-2018,0
376,Maharashtra,19-05-2018,187
377,Manipur,15-05-2018,0
378,Mizoram,24-05-2018,13
379,Nagaland,17-05-2018,0
380,Odisha,12-05-2018,5
381,Punjab,15-05-2018,5
382,Rajasthan,20-05-2018,278
383,Sikkim,25-05-2018,1
384,Tamil Nadu,20-05-2018,71
385,Tripura,14-05-2018,10
386,Telengana,23-05-2018,94
387,Uttar Pradesh,06-05-2018,17
388,Uttrakhand,26-05-2018,0
389,West Bengal,20-05-2018,Not Reported
390,A&N Island,12-05-2018,5
391,Chandigarh,19-05-2018,2
392,Delhi,26-05-2018,8
393,D&N Haveli,10-05-2018,11
394,Daman & Diu,05-05-2018,0
395,Puducherry,02-05-2018,3
396,Total,18-05-2018,1535
397,Andhara Pradesh,12-06-2018,285
398,Arunachal Pradesh,12-06-2018,0
399,Assam,10-06-2018,20
400,Bihar,18-06-2018,3
401,Chhattisgarh,16-06-2018,7
402,Goa,04-06-2018,68
403,Gujarat,16-06-2018,76
404,Haryana,03-06-2018,2
405,Himachal Pradesh,25-06-2018,65
406,J & K,14-06-2018,0
407,Jharkhand,14-06-2018,7
408,Karnataka,22-06-2018,415
409,Kerala,18-06-2018,1454
410,Madhya Pradesh,15-06-2018,17
411,Meghalaya,22-06-2018,0
412,Maharashtra,24-06-2018,550
413,Manipur,10-06-2018,0
414,Mizoram,03-06-2018,6
415,Nagaland,09-06-2018,0
416,Odisha,26-06-2018,191
417,Punjab,11-06-2018,3
418,Rajasthan,25-06-2018,280
419,Sikkim,18-06-2018,1
420,Tamil Nadu,14-06-2018,98
421,Tripura,06-06-2018,3
422,Telengana,27-06-2018,33
